hgnc	ensg	confidence	phenotype	panel	disease_group	moi
TUB	ENSG00000166402	3	Genetic Retinal Degeneration Conditions	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
VPS13B	ENSG00000132549	3	Genetic Retinal Degeneration Conditions	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
CACNA2D4	ENSG00000151062	3	Retinal cone dystrophy 4, 610478	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
MYO7A	ENSG00000137474	3	Usher syndrome, type 1B, OMIM:276900	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
C2orf71	ENSG00000179270	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
RP1	ENSG00000104237	3	Retinitis  pigmentosa 1	Retinal disorders	Ophthalmological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GUCA1A	ENSG00000048545	3	Cone dystrophy-3, 602093	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TIMP3	ENSG00000100234	3	Sorsby fundus  dystrophy	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ARL2BP	ENSG00000102931	3	Retinitis pigmentosa with or without situs inversus, 615434	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
SNRNP200	ENSG00000144028	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RS1	ENSG00000102104	3	Developmental macular and foveal dystrophy (males with foveal schisis)	Retinal disorders	Ophthalmological disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
COL4A1	ENSG00000187498	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RP2	ENSG00000102218	3	Retinitis  pigmentosa 2	Retinal disorders	Ophthalmological disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SCAPER	ENSG00000140386	3	More than one phenotype including syndromic cases for syndromic forms of Inherited retinal disease or albinism	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
NRL	ENSG00000129535	3	Retinal  degeneration,  autosomal  recessive, clumped pigment type (AR)	Retinal disorders	Ophthalmological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NPHP3	ENSG00000113971	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
SDCCAG8	ENSG00000054282	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
PCDH15	ENSG00000150275	3	Usher syndrome Type 1F	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
PRCD	ENSG00000214140	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
RGS9	ENSG00000108370	3	Achromatopsia, Cone, and Cone-rod Dystrophy	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
GNPTG	ENSG00000090581	3	Genetic Retinal Degeneration Conditions	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
IQCB1	ENSG00000173226	3	Senior-Loken syndrome 5 (nephronophthisis and Leber congenital amaurosis)	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
RBP4	ENSG00000138207	3	Achromatopsia, Cone, and Cone-rod Dystrophy	Retinal disorders	Ophthalmological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CNGA3	ENSG00000144191	3	Achromatopsia	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
BBS7	ENSG00000138686	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
OTX2	ENSG00000165588	3	Microphthalmia, syndromic 5, 610125	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NPHP4	ENSG00000131697	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
SPATA7	ENSG00000042317	3	Leber congenital  amaurosis 3	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
TULP1	ENSG00000112041	3	Leber congenital  amaurosis 15	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
CNGA1	ENSG00000198515	3	Retinitis pigmentosa 49, RP49 (AR)	Retinal disorders	Ophthalmological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FLVCR1	ENSG00000162769	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
PDE6G	ENSG00000185527	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
OAT	ENSG00000065154	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
IFT140	ENSG00000187535	3	Genetic Retinal Degeneration Conditions	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
HGSNAT	ENSG00000165102	3	Retinitis pigmentosa 73	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
KIF11	ENSG00000138160	3	Genetic Retinal Degeneration Conditions	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SRD5A3	ENSG00000128039	3	Congenital disorder of glycosylation, type Iq, 612379	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
CLN3	ENSG00000188603	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
RAX2	ENSG00000173976	3	Achromatopsia, Cone, and Cone-rod Dystrophy	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FZD4	ENSG00000174804	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GNAT2	ENSG00000134183	3	Achromatopsia	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
INPP5E	ENSG00000148384	3	Genetic Retinal Degeneration Conditions	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
ARHGEF18	ENSG00000104880	3	Retinitis pigmentosa 78 617433	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
RBP3	ENSG00000265203	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
MERTK	ENSG00000153208	3	Retinitis  pigmentosa 38	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
KLHL7	ENSG00000122550	3	Retinitis  pigmentosa 42	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TOPORS	ENSG00000197579	3	Retinitis  pigmentosa 31	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZNF423	ENSG00000102935	3	Eye Disorders	Retinal disorders	Ophthalmological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ELOVL4	ENSG00000118402	3	Macular dystrophy, autosomal dominant, chromosome 6-linked	Retinal disorders	Ophthalmological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POC1B	ENSG00000139323	3	Cone-rod dystrophy 20, 615973	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
ACO2	ENSG00000100412	3	Infantile cerebellar-retinal degeneration, 614559	Retinal disorders	Ophthalmological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CWC27	ENSG00000153015	3	Retinitis pigmentosa with or without skeletal anomalies, 250410	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
WDPCP	ENSG00000143951	3	Bardet-Biedl syndrome 15, OMIM:615992	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
GNB3	ENSG00000111664	3	Night blindness, congenital stationary, type 1H, OMIM:617024, MONDO:0014872	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
TUBGCP4	ENSG00000137822	3	Microcephaly and chorioretinopathy, autosomal recessive, 3, OMIM:616335	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
IDH3A	ENSG00000166411	3	Retinitis Pigmentosa	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
MTTP	ENSG00000138823	3	Abetalipoproteinemia, OMIM:200100, MONDO:0008692	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
MMACHC	ENSG00000132763	3	Methylmalonic aciduria and homocystinuria, cblC type, OMIM:277400, MONDO:0010184	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
ACBD5	ENSG00000107897	3	Retinal dystrophy with leukodystrophy, OMIM:618863, MONDO:0030026	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
LIG3	ENSG00000005156	2	gut dysmotility	Retinal disorders	Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal
TBC1D32	ENSG00000146350	2	Orofaciodigital syndrome 9, 258865	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
RAX	ENSG00000134438	3	Microphthalmia, isolated 3, OMIM:611038	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
LRP5	ENSG00000162337	3	Osteopetrosis, autosomal dominant 1, 607634	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
C16orf62	ENSG00000103544	2	3C/Ritscher-Schinzel-like syndrome	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
DDX58	ENSG00000107201	3	Singleton-Merten syndrome 2, OMIM:616298	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TEK	ENSG00000120156	3	Glaucoma 3, primary congenital, E, OMIM:617272	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FOXC1	ENSG00000054598	3	Axenfeld-Rieger syndrome, type 3  602482	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PLK4	ENSG00000142731	2	Microcephaly and chorioretinopathy, autosomal recessive, 2, OMIM:616171	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
DYRK1A	ENSG00000157540	3	Mental retardation, autosomal dominant 7, OMIM:614104	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RHOA	ENSG00000067560	2	ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies, MONDO:0032884	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TSC2	ENSG00000103197	2	Tuberous sclerosis-2, OMIM:613254	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GJA1	ENSG00000152661	3	Oculodentodigital dysplasia, OMIM:164200	Structural eye disease		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FZD5	ENSG00000163251	3	Coloboma, None	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LMX1B	ENSG00000136944	3	Nail-patella syndrome, OMIM:161200	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
BRPF1	ENSG00000156983	2	Intellectual developmental disorder with dysmorphic facies and ptosis, OMIM:617333	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NUP188	ENSG00000095319	2	Sandestig-Stefanova syndrome, OMIM:618804, MONDO:0032926	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CDK5RAP2	ENSG00000136861	2	Microcephaly 3, primary, autosomal recessive, OMIM:604804, MONDO:0011488	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CREBBP	ENSG00000005339	3	Rubinstein-Taybi syndrome 1, OMIM:180849	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CDON	ENSG00000064309	3	Holoprosencephaly 11, OMIM:614226, MONDO:0013642	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CENPF	ENSG00000117724	3	Stromme syndrome, OMIM:243605, MONDO:0009477	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
TOGARAM1	ENSG00000198718	2	TOGARAM1-related ciliopathy	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
OCRL	ENSG00000122126	3	Lowe syndrome, OMIM:309000	Structural eye disease		X-LINKED: hemizygous mutation in males, biallelic mutations in females
KMT2D	ENSG00000167548	3	Kabuki syndrome 1, OMIM:147920	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IFIH1	ENSG00000115267	3	Singleton-Merten syndrome 1, OMIM:182250	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRYBB1	ENSG00000100122	3	Cataract 17, multiple types, 611544	Structural eye disease		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CAPN15	ENSG00000103326	3	Oculogastrointestinal neurodevelopmental syndrome, OMIM:619318	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
WDR37	ENSG00000047056	3	corneal opacity	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SCLT1	ENSG00000151466	2	Orofaciodigital syndrome IX (a severe ciliopathy phenotype featuring midline cleft, microcephaly, and colobomatous microphthalmia/anophthalmia, one case only (Adly et al 2014), variant was classified as unknown significance by OMIM)	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
KIAA0586	ENSG00000100578	2		Structural eye disease		
TMEM237	ENSG00000155755	3	Joubert syndrome	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
MYRF	ENSG00000124920	3	Nanophthalmos	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RAB3GAP2	ENSG00000118873	3	Martsolf syndrome 1, OMIM:212720	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
VSX2	ENSG00000119614	3	Microphthalmia with coloboma 3, 610092	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SALL4	ENSG00000101115	3	Duane-radial ray syndrome,  607323	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ADAMTS17	ENSG00000140470	3	Weill-Marchesani-like syndrome- lenticular myopia, ectopia lentis, glaucoma, spherophakia, and short stature, but no brachydactyly (AR)	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
DAG1	ENSG00000173402	2	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, 613818	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
MITF	ENSG00000187098	3	COMMAD syndrome, 617306	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
OLFM2	ENSG00000105088	2	Bilateral microphthalmia, short stature and facial dysmorphism	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
POMGNT1	ENSG00000085998	3	Muscular Dystrophy-Dystroglycanopathy, Type A, 3, MDDGA3, 253280	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SMO	ENSG00000128602	3	Curry-Jones syndrome, somatic mosaic 601707	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POMT1	ENSG00000130714	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
POMT2	ENSG00000009830	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2, 613150	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
RIPK4	ENSG00000183421	3	Popliteal pterygium syndrome, Bartsocas-Papas type, 263650	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
ZEB2	ENSG00000169554	3	Mowat-Wilson syndrome (Hirschsprung disease with bilateral iris and retinal coloboma and high myopia), 235730	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMG9	ENSG00000105771	2	Heart and Brain Malformation Syndrome, HBMS, 616920	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
MFRP	ENSG00000235718	3	Isolated Microphthalmia	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
GLI2	ENSG00000074047	2	Holoprosencephaly 9, 610829	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ISPD	ENSG00000214960	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, 614643	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
FKRP	ENSG00000181027	2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5, 606612	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CPAMD8	ENSG00000160111	3	Anterior segment dysgenesis 8, 617319	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
FAT1	ENSG00000083857	3		Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
OTX2	ENSG00000165588	3	severe, bilateral cases	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FKTN	ENSG00000106692	3	Muscular Dystrophy-Dystroglycanopathy, Type A, 4, MDDGA4, 253800	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
HMX1	ENSG00000215612	3	Oculoauricular syndrome  612109	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SRD5A3	ENSG00000128039	3	Kahrizi Syndrome (mental retardation, cataract, coloboma, kyphosis), 612713	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
ALX1	ENSG00000180318	2	Frontonasal Dysplasia 3, FND3, 613456	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
RERE	ENSG00000142599	3	Neurodevelopment Disorder with anomalies of the Brain, Eye and/or Heart, NEDBEH, 616975	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KIF11	ENSG00000138160	2	Chorioretinopathy, Lymphedema or Mental Retardation, MCLMR, 152950	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COL18A1	ENSG00000182871	3	Knobloch syndrome, type 1, OMIM:267750	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PAX6	ENSG00000007372	3	Coloboma of optic nerve, 120430	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WNT2B	ENSG00000134245	2	Diarrhoea 9, OMIM:618168	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CLDN19	ENSG00000164007	3	Hypomagnesemia 5, renal, with ocular involvement,  248190	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
RAB3GAP1	ENSG00000115839	3	Warburg micro syndrome 1, 600118	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
FREM2	ENSG00000150893	3	FRASER SYNDROME 2 617666	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
RARB	ENSG00000077092	3	Microphthalmia, syndromic 12, 615524	Structural eye disease		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
MAF	ENSG00000178573	3	Cataract 21, multiple types  610202	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TBC1D20	ENSG00000125875	3	Warburg micro syndrome 4, 615663	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PRSS56	ENSG00000237412	3	Microphthalmia, isolated 6, 613517	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PIGL	ENSG00000108474	3	CHIME syndrome, 280000	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SMOC1	ENSG00000198732	3	Microphthalmia with limb anomalies, 206920	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PITX3	ENSG00000107859	3	Anterior segment mesenchymal dysgenesis, 107250	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ADAMTS18	ENSG00000140873	3	Microcornea, myopic chorioretinal atrophy, and telecanthus, 615458	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
C12orf57	ENSG00000111678	3	Temtamy syndrome,  218340	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
LTBP2	ENSG00000119681	3	Glaucoma 3, primary congenital, D 613086	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PUF60	ENSG00000179950	3	Verheij syndrome, 615583	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FBN1	ENSG00000166147	3	Marfan syndrome, 154700	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SHH	ENSG00000164690	3	Holoprosencephaly-3, 142945	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HCCS	ENSG00000004961	3	Microphthalmia, syndromic 7, 309801	Structural eye disease		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ACTG1	ENSG00000184009	3	Baraitser-Winter syndrome 2,  614583	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GJA8	ENSG00000121634	3	Cataract 1, multiple types, 116200	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CC2D2A	ENSG00000048342	3	COACH syndrome,  216360	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SMCHD1	ENSG00000101596	3	ARHINIA, CHOANAL ATRESIA, AND MICROPHTHALMIA, 603457	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NHS	ENSG00000188158	3	Nance-Horan syndrome, 302350	Structural eye disease		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PITX2	ENSG00000164093	3	Axenfeld-Rieger syndrome, type 1 180500	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TMEM67	ENSG00000164953	3	COACH syndrome, 216360	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CHRDL1	ENSG00000101938	3	Megalocornea 1, X-linked, 309300	Structural eye disease		X-LINKED: hemizygous mutation in males, biallelic mutations in females
RAB18	ENSG00000099246	3	Warburg Micro Syndrome	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SALL1	ENSG00000103449	3	Townes-Brocks branchiootorenal-like syndrome, 107480	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
BCOR	ENSG00000183337	3	Microphthalmia, syndromic 2, 300166	Structural eye disease		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
LAMB2	ENSG00000172037	3	Nephrotic syndrome, type 5, with or without ocular abnormalities, 614199	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
GRIP1	ENSG00000155974	3	FRASER SYNDROME 3 617667	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
ADAMTS10	ENSG00000142303	3	Weill-Marchesani syndrome 1, recessive	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
B3GLCT	ENSG00000187676	3	Peters-plus syndrome 261540	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
MYOC	ENSG00000034971	3	Glaucoma 1A, primary open angle, 137750	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
YAP1	ENSG00000137693	3	Coloboma, ocular, 120433	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CBS	ENSG00000160200	3	Homocystinuria, B6-responsive and nonresponsive types (includes ectopia lentis), 236200	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
KIAA1109	ENSG00000138688	3	Alkuraya-Kucinskas syndrome	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
MAB21L2	ENSG00000181541	3	Microphthalmia, syndromic 14, 615877	Structural eye disease		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GDF6	ENSG00000156466	3	Microphthalmia, isolated 4, 613094	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CRYGC	ENSG00000163254	3	Cataract 2, multiple types (often with microcornea), 604307	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHD7	ENSG00000171316	3	CHARGE syndrome,  214800	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SOX2	ENSG00000181449	3	Microphthalmia, syndromic 3  206900	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CYP1B1	ENSG00000138061	3	Primary Congenital Glaucoma	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PRR12	ENSG00000126464	3		Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC4A4	ENSG00000080493	3	Renal tubular acidosis, proximal, with ocular abnormalities, 604278	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
CEP290	ENSG00000198707	3	Senior-Loken syndrome 6, 610189	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
LRP2	ENSG00000081479	3	Donnai-Barrow syndrome,  222448	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
STRA6	ENSG00000137868	3	Microphthalmia, syndromic 9, 601186	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
RPGRIP1L	ENSG00000103494	3	COACH syndrome,  216360	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
NDP	ENSG00000124479	3	Norrie disease, 310600	Structural eye disease		X-LINKED: hemizygous mutation in males, biallelic mutations in females
PTCH1	ENSG00000185920	3	Holoprosencephaly 7 (can include microphthalmia), 610828	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TFAP2A	ENSG00000137203	3	Branchiooculofacial syndrome , 113620	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FREM1	ENSG00000164946	3	MANITOBA OCULOTRICHOANAL SYNDROME 248450	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
SH3PXD2B	ENSG00000174705	3	Frank-ter Haar syndrome, 249420	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
ADAMTSL4	ENSG00000143382	3	Ectopia lentis et pupillae, 225200	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
PXDN	ENSG00000130508	3	Corneal opacification and other ocular anomalies, 269400	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
FRAS1	ENSG00000138759	3	FRASER SYNDROME 1 219000	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
INPP5E	ENSG00000148384	3	Joubert syndrome	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
FOXD3	ENSG00000187140	3	Anterior segment dysgenesis	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
BMP4	ENSG00000125378	3	Orofacial cleft 11, 600625	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SIX6	ENSG00000184302	3	Microphthalmia with cataract 2, 212550	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
FOXE3	ENSG00000186790	3	Anterior segment mesenchymal dysgenesis, OMIM:107250	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
COL4A1	ENSG00000187498	3	BRAIN SMALL VESSEL DISEASE WITH OR WITHOUT OCULAR ANOMALIES 175780	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ACTB	ENSG00000075624	3	Baraitser-Winter syndrome 1, 243310	Structural eye disease		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CNNM4	ENSG00000158158	2	Jalili syndrome, 217080	Structural eye disease		BIALLELIC, autosomal or pseudoautosomal
